status, area, eccentricity, perimeter, compactness, aspect ratio, mean of GC, std. dev. of GC, mean of CEGC, std. dev. of CEGC, mean gradient magnitude, neighbour mean gradient magnitude, mean hue, mean saturation, mean value, std. dev. hue, std. dev. saturation, std. dev. value, energy, entropy
-1, 11658, 0.97935861, 56.769552, 0.0219987, 0.20213041, 0.0096171255, 1.4707632, 0.0097021085, 1.4745826, 0, 0, 0.0097021085, 0.0097021085, 0.0097021085, 1.4745826, 1.4745826, 1.4745826, 0.00062186382, 0.19772155, 1.8909091
-1, 21306, 0.99061921, 103.63961, 0.040118044, 0.13665129, 0.017135539, 1.9971871, 0.017084549, 1.9959033, 0, 0, 0.017084549, 0.017084549, 0.017084549, 1.9959033, 1.9959033, 1.9959033, 0.0010181497, 0.27242852, 1.8909091
-1, 9033, 0.9493365, 42.284271, 0.015751279, 0.31426138, 0.0073757899, 1.2979072, 0.0073550984, 1.297102, 0, 0, 0.0073550984, 0.0073550984, 0.0073550984, 1.297102, 1.297102, 1.297102, 0.00050223927, 0.17289225, 1.8909091
1, 31804, 0.77123853, 151.4386, 0.057382776, 0.63654625, 0.030787676, 2.4987796, 0.030869978, 2.500313, 0, 0, 0.030869978, 0.030869978, 0.030869978, 2.500313, 2.500313, 2.500313, 0.0030356485, 0.53348995, 1.8863636
1, 10367, 0.71348577, 48.04163, 0.017716279, 0.70066971, 0.01016691, 1.4270608, 0.010105369, 1.425504, 0, 0, 0.010105369, 0.010105369, 0.010105369, 1.425504, 1.425504, 1.425504, 0.0010555637, 0.31623128, 1.8863636
1, 13096, 0.76357637, 67.84062, 0.027966047, 0.64571756, 0.011316174, 1.5910644, 0.011310984, 1.5909747, 0, 0, 0.011310984, 0.011310984, 0.011310984, 1.5909747, 1.5909747, 1.5909747, 0.00085637154, 0.20937794, 1.8863636
1, 10367, 0.71348577, 48.04163, 0.017716279, 0.70066971, 0.01016691, 1.4270608, 0.010105369, 1.425504, 0, 0, 0.010105369, 0.010105369, 0.010105369, 1.425504, 1.425504, 1.425504, 0.0010555637, 0.31623128, 1.8863636
1, 13096, 0.76357637, 67.84062, 0.027966047, 0.64571756, 0.011316174, 1.5910644, 0.011310984, 1.5909747, 0, 0, 0.011310984, 0.011310984, 0.011310984, 1.5909747, 1.5909747, 1.5909747, 0.00085637154, 0.20937794, 1.8863636
1, 31804, 0.77123853, 151.4386, 0.057382776, 0.63654625, 0.030787676, 2.4987796, 0.030869978, 2.500313, 0, 0, 0.030869978, 0.030869978, 0.030869978, 2.500313, 2.500313, 2.500313, 0.0030356485, 0.53348995, 1.8863636
1, 7813, 0.3415583, 34.142135, 0.011872814, 0.93986058, 0.0065889384, 1.2121763, 0.0065622566, 1.2116566, 0, 0, 0.0065622566, 0.0065622566, 0.0065622566, 1.2116566, 1.2116566, 1.2116566, 0.00069878122, 0.7021097, 1.8878788
1, 10055, 0.5947515, 51.355338, 0.02087273, 0.8039096, 0.0095600637, 1.4211594, 0.009550434, 1.4207791, 0, 0, 0.009550434, 0.009550434, 0.009550434, 1.4207791, 1.4207791, 1.4207791, 0.00071230863, 0.50417247, 1.8893939
1, 10122, 0.71686387, 54.183766, 0.023081401, 0.69721317, 0.0089741339, 1.4086169, 0.0089933933, 1.4095767, 0, 0, 0.0089933933, 0.0089933933, 0.0089933933, 1.4095767, 1.4095767, 1.4095767, 0.00060945959, 0.47960227, 1.8893939
1, 5947, 0.52921048, 25.899495, 0.0089758334, 0.8484906, 0.0054096657, 1.0768142, 0.0053415171, 1.0739056, 0, 0, 0.0053415171, 0.0053415171, 0.0053415171, 1.0739056, 1.0739056, 1.0739056, 0.00050263456, 0.23081498, 1.8893939
1, 9524, 0.70422422, 43.213203, 0.01560284, 0.70997763, 0.0094907921, 1.3782095, 0.0093862532, 1.3748129, 0, 0, 0.0093862532, 0.0093862532, 0.0093862532, 1.3748129, 1.3748129, 1.3748129, 0.0009457402, 0.45848485, 1.8871212
